I1;0;3;1;3;1;1;0;0;0;0;0;0;0
I2;3;2;2;4;2;2;0;0;0;0;0;0;0
I3;0;0;2;0;0;0;0;0;0;0;0;0;0
I4;0;2;1;0;0;0;0;0;0;0;0;0;0
I5;0;2;2;0;0;0;0;0;0;0;0;0;0
I6;0;1;0;0;0;0;0;0;0;0;0;0;0
I7;0;0;1;0;1;0;0;0;0;0;0;0;0
I8;1;0;0;0;1;1;0;0;0;0;0;0;0
I9;0;3;0;0;0;0;0;0;0;0;0;0;0
I10;0;1;1;4;1;0;0;0;0;0;0;0;0
I11;0;3;2;1;1;0;0;0;0;0;0;0;0
I12;3;1;4;2;2;1;0;0;0;0;0;0;0
I13;0;1;1;1;0;0;0;0;0;0;0;0;0
I14;0;0;0;1;0;1;0;0;0;0;0;0;0
I15;0;2;1;2;0;2;0;0;0;0;0;0;0
I16;0;3;0;1;0;0;0;0;0;0;0;0;0
I17;0;1;1;1;0;0;0;0;0;0;0;0;0
I18;1;0;0;0;0;0;0;0;0;0;0;0;0
I19;0;1;1;0;0;0;0;0;0;0;0;0;0
I20;2;4;2;0;3;1;0;0;0;0;0;0;0
I21;0;2;0;0;1;1;0;0;0;0;0;0;0
I22;0;1;1;1;3;1;0;0;0;0;0;0;0
I23;0;0;1;1;1;1;0;0;0;0;0;0;0
I24;0;0;1;1;0;0;0;0;0;0;0;0;0
I25;0;0;0;0;1;0;0;0;0;0;0;0;0
I26;0;0;0;1;0;0;0;0;0;0;0;0;0
I27;0;2;1;1;0;1;0;0;0;0;0;0;0
I28;0;1;1;2;2;2;0;0;0;0;0;0;0
I29;0;0;0;0;0;0;0;0;1;0;0;0;0
I30;0;0;0;0;0;0;0;0;0;1;0;1;0
I31;0;0;0;0;0;0;0;1;0;0;0;1;1
I32;0;0;0;0;0;0;0;0;3;0;0;0;0
I33;0;0;0;0;0;0;0;0;1;1;4;1;0
I34;0;0;0;0;0;0;0;0;3;2;1;1;0
I35;0;0;0;0;0;0;0;0;2;0;0;1;1
I36;0;0;0;0;0;0;0;0;1;1;1;3;1
I37;0;0;0;0;0;0;0;0;0;1;1;1;1
I38;0;0;0;0;0;0;0;0;2;1;1;0;1
I39;0;0;0;0;0;0;0;0;1;1;2;2;2
I40;0;0;0;0;0;0;0;0;1;4;2;2;1
I41;0;0;0;0;0;0;0;0;1;5;2;2;1
